StartTime,DieSet,Hits,Parts,TotalHours,ProductionUptime
03-Feb-17,ds2,3,59,3 hr,5 hr
04-Feb-17,ds1,7,87,4 hr,1 hr
05-Feb-17,ds2,7,93,4 hr,5 hr
06-Feb-17,ds1,5,66,6 hr,6 hr
07-Feb-17,ds2,6,20,6 hr,4 hr
08-Feb-17,ds1,8,65,4 hr,8 hr
09-Feb-17,ds2,0,7,4 hr,7 hr
10-Feb-17,ds1,3,40,6 hr,3 hr
11-Feb-17,ds2,0,66,7 hr,4 hr
12-Feb-17,ds1,1,93,10 hr,3 hr
13-Feb-17,ds2,7,81,8 hr,7 hr
14-Feb-17,ds1,7,48,5 hr,7 hr
15-Feb-17,ds2,8,75,9 hr,4 hr
16-Feb-17,ds1,5,41,2 hr,6 hr
17-Feb-17,ds2,0,97,1 hr,9 hr
18-Feb-17,ds1,9,98,1 hr,7 hr
19-Feb-17,ds2,8,86,2 hr,7 hr
20-Feb-17,ds1,2,38,4 hr,1 hr
21-Feb-17,ds2,5,45,4 hr,3 hr
22-Feb-17,ds1,9,24,1 hr,5 hr
23-Feb-17,ds2,7,78,6 hr,4 hr
24-Feb-17,ds1,8,88,1 hr,0 hr
25-Feb-17,ds2,4,91,2 hr,2 hr
26-Feb-17,ds1,4,55,7 hr,8 hr
27-Feb-17,ds2,5,59,9 hr,0 hr
28-Feb-17,ds1,2,14,10 hr,8 hr
01-Mar-17,ds2,7,89,6 hr,0 hr
