StartTime,DieSet,Hits,Parts,TotalHours,ProductionUptime
01-Jan-2017,ds1,5,50,5 hr,9 hr
02-Jan-2017,ds2,4,64,3 hr,5 hr
03-Jan-2017,ds1,8,30,9 hr,5 hr
04-Jan-2017,ds2,3,13,8 hr,3 hr
05-Jan-2017,ds1,4,47,9 hr,4 hr
06-Jan-2017,ds2,9,36,3 hr,4 hr
07-Jan-2017,ds1,0,78,7 hr,0 hr
08-Jan-2017,ds2,9,78,7 hr,8 hr
09-Jan-2017,ds1,1,66,2 hr,0 hr
10-Jan-2017,ds2,6,13,5 hr,4 hr
11-Jan-2017,ds1,5,2,3 hr,8 hr
12-Jan-2017,ds2,6,55,8 hr,3 hr
13-Jan-2017,ds1,3,30,3 hr,6 hr
14-Jan-2017,ds2,6,93,9 hr,8 hr
15-Jan-2017,ds1,8,98,9 hr,8 hr
16-Jan-2017,ds2,0,28,4 hr,9 hr
17-Jan-2017,ds1,0,80,5 hr,1 hr
18-Jan-2017,ds2,9,89,7 hr,2 hr
19-Jan-2017,ds1,6,59,9 hr,8 hr
20-Jan-2017,ds2,2,88,7 hr,5 hr
21-Jan-2017,ds1,4,94,6 hr,5 hr
22-Jan-2017,ds2,1,54,4 hr,6 hr
23-Jan-2017,ds1,2,72,5 hr,8 hr
24-Jan-2017,ds2,2,57,8 hr,5 hr
25-Jan-2017,ds1,3,2,9 hr,2 hr
26-Jan-2017,ds2,1,44,8 hr,4 hr
27-Jan-2017,ds1,3,64,1 hr,4 hr
28-Jan-2017,ds2,1,52,7 hr,9 hr
29-Jan-2017,ds1,8,37,5 hr,6 hr
30-Jan-2017,ds2,0,93,5 hr,6 hr
31-Jan-2017,ds1,9,82,2 hr,7 hr
01-Feb-2017,ds2,3,84,9 hr,3 hr
02-Feb-2017,ds1,0,37,4 hr,5 hr
03-Feb-2017,ds2,3,59,3 hr,5 hr
04-Feb-2017,ds1,7,87,4 hr,1 hr
05-Feb-2017,ds2,7,93,4 hr,5 hr
06-Feb-2017,ds1,5,66,6 hr,6 hr
07-Feb-2017,ds2,6,20,6 hr,4 hr
08-Feb-2017,ds1,8,65,4 hr,8 hr
09-Feb-2017,ds2,0,7,4 hr,7 hr
10-Feb-2017,ds1,3,40,6 hr,3 hr
11-Feb-2017,ds2,0,66,7 hr,4 hr
12-Feb-2017,ds1,1,93,10 hr,3 hr
13-Feb-2017,ds2,7,81,8 hr,7 hr
14-Feb-2017,ds1,7,48,5 hr,7 hr
15-Feb-2017,ds2,8,75,9 hr,4 hr
16-Feb-2017,ds1,5,41,2 hr,6 hr
17-Feb-2017,ds2,0,97,1 hr,9 hr
18-Feb-2017,ds1,9,98,1 hr,7 hr
19-Feb-2017,ds2,8,86,2 hr,7 hr
20-Feb-2017,ds1,2,38,4 hr,1 hr
21-Feb-2017,ds2,5,45,4 hr,3 hr
22-Feb-2017,ds1,9,24,1 hr,5 hr
23-Feb-2017,ds2,7,78,6 hr,4 hr
24-Feb-2017,ds1,8,88,1 hr,0 hr
25-Feb-2017,ds2,4,91,2 hr,2 hr
26-Feb-2017,ds1,4,55,7 hr,8 hr
27-Feb-2017,ds2,5,59,9 hr,0 hr
28-Feb-2017,ds1,2,14,10 hr,8 hr
01-Mar-2017,ds2,7,89,6 hr,0 hr
